,id,stateabb,ccode,year,milex,milper,irst,pec,tpop,upop,cinc,version
0,0,USA,2,1816,3823,17,80,254,8659,101,0.03969749,2011
1,1,USA,2,1817,2466,15,80,277,8899,106,0.03581661,2011
2,2,USA,2,1818,1910,14,90,302,9139,112,0.036126547,2011
3,3,USA,2,1819,2301,13,90,293,9379,118,0.03713325,2011
4,4,USA,2,1820,1556,15,110,303,9618,124,0.037086867,2011
5,5,USA,2,1821,1612,11,100,321,9939,130,0.034173075,2011
6,6,USA,2,1822,1079,10,100,332,10268,136,0.032939076,2011
7,7,USA,2,1823,1170,11,110,345,10596,143,0.033107504,2011
8,8,USA,2,1824,1261,11,110,390,10924,151,0.03297759,2011
9,9,USA,2,1825,1336,11,120,424,11252,158,0.034215014,2011
10,10,USA,2,1826,1658,12,120,502,11580,166,0.03642519,2011
11,11,USA,2,1827,1663,12,130,556,11909,175,0.0357089,2011
12,12,USA,2,1828,1622,11,130,609,12237,183,0.035687946,2011
13,13,USA,2,1829,1678,12,144,686,12565,193,0.03748225,2011
14,14,USA,2,1830,1687,12,168,799,12901,203,0.03848368,2011
15,15,USA,2,1831,1835,11,194,864,13321,222,0.042001393,2011
16,16,USA,2,1832,1896,12,203,1154,13742,244,0.044544697,2011
17,17,USA,2,1833,2445,13,220,1348,14162,268,0.048138127,2011
18,18,USA,2,1834,2073,13,240,1291,14582,295,0.04777348,2011
19,19,USA,2,1835,2001,14,260,1650,15003,324,0.048520003,2011
20,20,USA,2,1836,2571,17,280,1807,15423,356,0.050953005,2011
21,21,USA,2,1837,3121,22,290,2027,15843,391,0.053536404,2011
22,22,USA,2,1838,3083,18,310,1922,16264,429,0.053272706,2011
23,23,USA,2,1839,2012,19,330,2159,16684,471,0.050800554,2011
24,24,USA,2,1840,2755,22,291,2244,17120,518,0.049549963,2011
25,25,USA,2,1841,3042,21,290,2374,17733,562,0.050864942,2011
26,26,USA,2,1842,3011,23,219,2643,18345,610,0.049301073,2011
27,27,USA,2,1843,1364,21,320,2967,18957,662,0.051081475,2011
28,28,USA,2,1844,2432,21,400,3557,19569,718,0.057326183,2011
29,29,USA,2,1845,3534,21,490,4284,20182,779,0.061653126,2011
30,30,USA,2,1846,9506,39,777,4863,20794,846,0.082757324,2011
31,31,USA,2,1847,7431,58,813,5767,21406,918,0.08450961,2011
32,32,USA,2,1848,8106,60,813,6424,22018,996,0.087174244,2011
33,33,USA,2,1849,3558,23,660,6976,22631,1081,0.07309649,2011
34,34,USA,2,1850,4302,21,572,7607,23261,1174,0.072471224,2011
35,35,USA,2,1851,3525,21,420,9438,24086,1273,0.06770732,2011
36,36,USA,2,1852,4226,21,508,10270,24911,1380,0.071873814,2011
37,37,USA,2,1853,4605,21,730,11570,25736,1496,0.07874375,2011
38,38,USA,2,1854,5765,21,668,13632,26561,1623,0.07420043,2011
39,39,USA,2,1855,5892,26,711,14651,27386,1760,0.07599737,2011
40,40,USA,2,1856,6117,26,801,15378,28212,1908,0.07840921,2011
41,41,USA,2,1857,7499,27,724,15779,29037,2069,0.08329487,2011
42,42,USA,2,1858,7297,29,640,16015,29862,2244,0.08343081,2011
43,43,USA,2,1859,5638,29,763,17435,30687,2433,0.083074376,2011
44,44,USA,2,1860,7060,28,835,18282,31513,2639,0.07737218,2011
45,45,USA,2,1861,95362,217,664,17660,32351,2759,0.1444292,2011
46,46,USA,2,1862,136769,673,715,18366,33188,2886,0.1763908,2011
47,47,USA,2,1863,119662,960,860,21157,34026,3018,0.17896698,2011
48,48,USA,2,1864,157390,1032,1031,22597,34863,3156,0.19291268,2011
49,49,USA,2,1865,30471,1063,845,22658,35701,3301,0.13546522,2011
50,50,USA,2,1866,17821,77,1225,26846,36538,3452,0.0981717,2011
51,51,USA,2,1867,30698,75,1326,28027,37376,3610,0.11413383,2011
52,52,USA,2,1868,20154,66,1454,31646,38213,3776,0.10664034,2011
53,53,USA,2,1869,16559,52,1739,35983,39051,3949,0.10800558,2011
54,54,USA,2,1870,13128,50,1692,37779,39905,4130,0.09899961,2011
